timestamp,open,high,low,close
2007-09-06,622.51,631.33,621.75,631.33
2007-09-05,634.04,634.04,626.45,627.07
2007-09-04,630.15,637.8,630.15,637.68
2007-08-31,626.01,630.95,625.58,630.33
2007-08-30,614.64,622.08,612.25,621.2
2007-08-29,611.71,613.79,609.76,613.22
2007-08-28,616.98,617.87,608.39,610.22
2007-08-27,622.01,622.01,622.01,622.01
2007-08-24,619.51,623.22,619.17,622.01
2007-08-23,625.4,625.74,619.44,619.69
2007-08-22,613.92,619.66,613.92,619.6
2007-08-21,606.94,610.66,604.53,608.61
2007-08-20,611.2,613.88,607.55,607.87
2007-08-17,583.7,613.4,582.17,606.42
2007-08-16,592.05,595.53,585.89,585.89
2007-08-15,605.14,612.4,604.17,610.93
2007-08-14,622.53,626.49,613.22,614.35
2007-08-13,615.81,623.78,614.96,621.9
2007-08-10,608.15,613.25,603.83,603.83
2007-08-09,630.59,630.94,622.8,627.12
2007-08-08,635.46,640.63,634.28,639.39
2007-08-07,626.4,630.88,623.16,630.88
2007-08-06,623.95,624.59,618.33,618.91
2007-08-03,627.65,630.14,621.22,622.43
2007-08-02,629.83,631.93,627.09,630.03
2007-08-01,626.6,631.14,625.06,625.06
2007-07-31,633.9,636.11,631.6,636.01
2007-07-30,619.98,625.65,618.71,620.61
2007-07-27,623.48,627.43,619.72,621.52
2007-07-26,640.76,640.76,625.12,625.12
2007-07-25,650.24,653.36,643.67,645.43
2007-07-24,656.74,657.28,650.57,650.57
2007-07-23,659.34,662.44,659.0,662.44
2007-07-20,664.75,665.13,658.0,658.52
2007-07-19,662.55,665.88,661.78,664.02
2007-07-18,660.51,663.11,656.71,656.71
2007-07-17,663.79,667.58,663.52,665.91
2007-07-16,670.27,670.32,667.92,669.77
2007-07-13,671.8,673.9,671.09,671.67
2007-07-12,663.44,669.77,662.74,669.77
2007-07-11,658.2,662.96,657.42,661.51
2007-07-10,669.15,669.15,662.05,663.09
2007-07-09,670.79,671.73,669.97,671.27
2007-07-06,666.39,669.04,665.05,669.01
2007-07-05,666.83,669.18,662.58,663.52
2007-07-03,662.99,664.53,662.8,663.98
2007-07-02,658.98,661.28,657.08,659.06
2007-06-29,653.11,660.79,652.79,660.79
